"Group.1","Group.2","u_teamid","count","AME","lower","upper","error","z","p","inv_weight","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Stock","Flow","ChangeFlow","main_IV_as_control","twowayfe","cluster_any","mlm_any","mlm_re","mlm_fe","hybrid_mlm","level_cyear","level_country","level_year","country_dummies_only","year_dummies_only","year_as_count","logit","ologit","lpm","listwise","multimpute","ols","mlogit","ml_glm","bayes","L2boots","weights","pseudo_pnl","stata","r","mplus","spss","mlwin","dichotomize","categorical","mmodel","unbalpanel","w1985","w1990","w1996","w2006","w2016","AU","AT","BE","BG","CA","CL","HR","CY","CZ","DK","FI","FR","DE","HU","IS","IN","IE","IL","IT","JP","KR","LV","LT","NT","NZ","NO","PH","PL","PT","RU","SK","SI","ES","SE","CH","UK","US","ZA","TW","TR","UY","VE","orig13","orig17","eeurope","allavailable","emigration_ivC","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","unchange_ivC","poverty_ivC","fbunemprate_ivC","fbunempchange_ivC","fbeducrate_ivC","fbeducratechange_ivC","socxchg_ivC","gdpchange_ivC","ginin_ivC","mcp_ivC","regime_ivC","socialistdummy_ivC","targeting_ivC","socx_programspecific_ivC","conservatism_ivC","decomm_ivC","tradeunion10_ivC","subFB_ivC","socult_ivC","fract_ivC","antiimm_ivC","pop_ivC","age_iv","age2_iv","sex_iv","employed_iv","income_iv","occclass_iv","occstatus_iv","education_iv","married_iv","household_iv","reldenom_iv","relattend_iv","publice_iv","urban_iv","fb_iv","cuts_iv","taxes_iv","upol_iv","leftright_iv","trust_iv","efficacy_iv","fbXnet","netXcons","netXeduc","netXage","netXsex","netXunemp","netXinc","fbXeduc","fbXage","fbXsex","fbXunemp","fbXgini","fbXurban","fbXinc","squared_imm","fractXfb","fbXleftright","anynonlin","Hsupport","Hreject","Hnotest","Hmixed","Hsupport_stock","Hreject_stock","Hnotest_stock","Hsupport_net","Hreject_net","Hnotest_net","AME_Z","lower_Z","upper_Z","Hresult","Hsup","Hrej","Hno","AME_sup_p05","AME_sup_p10","countries","belief_strength","pro_immigrant","changemind_delib","topic_interest","pub_interest","team_size","stat","topic","belief","score_waves","score_cases","score_levels","score_mlm","score_mator","score_weight","total_score","pos_test_pct_p05","pos_test_pct_p10","stat_cat","belief_cat","topic_cat","total_score_cat"
17,"Reject",17,175.5,-0.027015,-0.154825,0.100805,0.12781,-0.337465,0.560885,3,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-0.00473274388127718,-0.0271237116941973,0.0176599758264722,"Reject",0,1,0,0,0,20,2,1,2,4,4,1,-0.344449431659056,-0.376630926613283,-0.201371924377532,0.49511002,0.91381418,0.37041565,NA,0.59046455,0.3,0.53396088,0,0,"Lowest","Low","Lowest","Highest"
20,"Reject",20,200.5,0.082,0.047,0.1175,0.035,2.875185,0.442305,3,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0.014365537600027,0.00823390569757644,0.0205847642439411,"Reject",0,1,0,0,0,13,3,2,3,4,4,2,0.351335912537265,-0.0641855098683553,0.194772397109651,0.49511002,0.34229829,0.04889976,0.37408313,0.09779951,0.3,0.276365118333333,0.333333333333333,0.333333333333333,"High","Low","Low","Lowest"
23,"Reject",23,245.5,0.0436216666666667,-0.0260841666666667,0.1133275,0.0697058333333333,1.37777583333333,0.355572916666667,48,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0.25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0.00764205722775419,-0.00456967167091915,0.0198537861264275,"Reject",0,1,0,0,0,13,4,3.5,3,2,4,2,-0.423219281063858,-0.441045366644611,0.335558445151362,0.26650367,0.34229829,0.04889976,0.68826406,0.44254279,0.3,0.348084761666667,0.104166666666667,0.125,"Lowest","High","Lowest","Low"
27,"Reject",27,270.5,0.025995,0.00453333333333333,0.0474583333333333,0.0214616666666667,2.36918666666667,0.195823333333333,12,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0.00455405060869148,0.000794192322603118,0.00831420087725139,"Reject",0,1,0,0,0,26,6,1,NA,NA,NA,1,0.338470305751378,0.222079078888209,-0.69342197363567,0.26650367,0.91381418,0.04889976,0.37408313,0.44254279,0.3,0.390973921666667,0.166666666666667,0.166666666666667,"High","Lowest","Low","Low"
28,"Reject",28,291.5,-0.000854166666666667,-0.00504583333333333,0.00334083333333333,0.00419166666666667,-0.369875833333333,0.507226666666667,24,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.000149641016666948,-0.000883976932603286,0.000585278864212481,"Reject",0,1,0,0,0,25,5,4.33333333333333,3,5,5,3,0.210904800235559,0.526080957460832,-0.370345181301223,1,0.91381418,0.04889976,0.68826406,0.44254279,0.3,0.565586798333333,0,0.0833333333333333,"Low","Lowest","High","Highest"
29,"Reject",29,333.5,0.02390625,-0.0711904166666667,0.119003333333333,0.0950966666666667,0.84995625,0.437507083333333,48,0.25,0.25,0.25,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA,0,1,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0.00418812357622738,-0.0124718122852023,0.0208481324332749,"Reject",0,1,0,0.0833333333333333,0.0833333333333333,13,5,2.5,2,4,4,2,0.0483210887276193,0.0823997684663741,-0.26784716528385,0.26650367,0.34229829,0.04889976,0.37408313,0.44254279,0.3,0.295721273333333,0.0416666666666667,0.0416666666666667,"Low","Lowest","Low","Lowest"
30,"Reject",30,351.5,NA,NA,NA,NA,NA,NA,8,0.25,0.25,0.25,0.25,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject",0,1,0,NA,NA,29,5,3.5,3,5,4,2,0.262669621389877,0.168413156144777,0.0472369003572106,0.26650367,0.91381418,0.66136919,0.50977995,0.44254279,0.3,0.515668296666667,0,0,"High","Low","Low","High"
31,"Reject",31,389.5,0.00159333333333333,-0.197216666666667,0.20040375,0.19881,0.0513191666666667,0.569702083333333,48,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,1,0,0.25,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0.75,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0.75,0,1,1,1,1,1,1,0.75,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0.000279135242797272,-0.0345502858579511,0.0351086293391635,"Reject",0,1,0,0,0,26.5,3,2,2,4,4,1,0.672873723231543,1.07240493956494,0.45908132758341,0.26650367,0.91381418,0.53667482,0.50977995,0.59046455,0.3,0.519539528333333,0,0,"High","High","Highest","High"
33,"Reject",33,417.5,-0.51699,-1.872016,0.838029,1.355026,-0.770302,0.483453,20,0.4,0.4,0.4,0.4,0,0,0.2,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.0905712107785116,-0.327957515071367,0.146813867187964,"Reject",0,1,0,0,0.1,13,4,1,2,5,2,3,-0.208330780306316,-0.181040599812081,0.452913032901721,0.26650367,0.34229829,0.59168704,0.50977995,0.59046455,0.3,0.433455583333333,0,0.35,"Low","High","Low","High"
34,"Reject",34,430.5,-0.077515,-0.24164625,0.0866175,0.16413125,-0.252885,0.30362875,16,1,1,1,1,1,1,1,0,1,0,0.5,0,0,1,0.5,0.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,-0.0135798127690987,-0.0423338815887868,0.0151744750374431,"Reject",0,1,0,0.125,0.125,27,2,3,4,5,3,2,0.373657706584964,0.306812331124957,0.158312332792924,0.49511002,0.91381418,0.44254279,0.669315405,0.59046455,0.3,0.5685411575,0.0625,0.0625,"High","Low","High","Highest"
