36	4	2	2	3	3	2	4	1	1	-99	-99	6	1	1	-99	0	0	1	1	-.0543522007481706	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	2	2	3	3	2	3	0	1	-99	-99	2	-99	0	0	0	0	1	1	.295101168703758	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	1	2	1	2	-99	1	0	0	0	-99	-99	0	0	0	0	1	1	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	2	2	1	2	3	1	0	0	0	-99	1	0	0	0	0	1	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	1	1	1	1	1	1	3	1	1	-99	-99	5	1	0	0	0	1	0	1	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	1	1	1	1	1	1	6	0	0	0	0	2	-99	0	0	0	0	1	0	-.102074907589623	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	2	8	2	4	2	-99	1	-99	-99	-99	2	-99	0	0	0	0	1	-99	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	2	2	2	1	1	5	0	0	0	0	-99	-99	0	0	0	0	1	1	27.5278329114553	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	2	2	2	3	2	3	1	0	0	0	2	-99	0	0	0	0	1	1	.0180015805920964	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	2	2	2	2	1	0	1	-99	-99	5	1	1	-99	0	1	0	0	.279706747141999	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	2	9	9	8	6	1	-99	-99	1	1	-99	1	-99	1	0	0	0	-.151337056587252	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	8	1	1	4	2	4	4	1	0	0	0	3	-99	0	0	-99	-99	-99	1	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	3	2	3	4	3	5	0	-99	1	-99	-99	-99	0	0	0	0	1	1	-.0204844733123009	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	2	2	1	2	3	2	4	1	0	0	0	4	1	0	0	0	0	1	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	2	1	1	1	1	1	3	1	0	0	0	4	1	0	0	0	0	1	1	.010304369811217	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	2	2	4	4	2	4	0	-99	-99	1	1	-99	1	-99	0	0	1	1	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	2	3	2	3	3	0	0	0	0	-99	1	1	-99	0	0	1	1	.133459742305289	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	2	1	1	2	2	2	6	1	0	0	0	-99	-99	1	-99	1	0	0	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	2	1	3	3	3	3	0	1	-99	-99	-99	-99	0	0	-99	-99	-99	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	1	1	1	1	1	1	-99	0	0	0	0	-99	-99	1	-99	1	0	0	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	1	1	1	1	1	1	1	1	1	-99	-99	2	-99	0	0	1	0	0	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	2	3	3	3	3	0	0	0	0	4	1	0	0	0	0	1	1	.141156953086168	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	2	2	3	2	3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	1	1	3	2	8	6	1	-99	-99	1	2	-99	1	-99	1	0	0	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	2	1	3	1	1	6	0	0	0	0	-99	-99	1	-99	1	0	0	0	-.0589705272166983	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	2	2	2	8	1	5	1	0	0	0	2	-99	1	-99	-99	-99	-99	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	2	2	2	2	3	2	5	1	-99	1	-99	-99	-99	1	-99	1	0	0	1	-.0897593703402162	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	2	1	1	8	2	2	6	0	-99	-99	1	1	-99	1	-99	1	0	0	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	1	1	1	2	1	2	6	0	0	0	0	-99	-99	1	-99	1	0	0	0	-.142100403650197	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	2	2	4	4	3	2	1	0	0	0	3	1	0	0	0	0	1	1	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	1	1	1	1	2	1	-99	-99	-99	-99	-99	4	-99	0	0	-99	-99	-99	-99	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	2	2	1	2	2	1	4	0	1	-99	-99	2	-99	1	-99	1	0	0	0	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	1	4	4	2	5	1	0	0	0	-99	-99	1	-99	0	0	1	1	-.163652593836659	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	2	1	1	2	4	2	4	0	0	0	0	4	-99	1	-99	0	0	1	1	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	1	2	2	8	1	1	1	-99	-99	3	-99	1	-99	1	0	0	1	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	3	1	2	3	3	2	6	1	0	0	0	2	-99	1	-99	1	0	0	0	-.0840634343623654	28.48535426	.388442351	.8	19.1	0	1	60.891998
36	4	4	2	2	1	2	6	0	-99	-99	-99	3	-99	-99	-99	1	0	0	-99	-99	28.48535426	.388442351	.8	19.1	0	1	60.891998
