"u_teamid","belief1","belief2","belief3","belief4","belief5","belief6","belief7","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","stat1","stat2","stat3","stat4","stat5","stat6","stat7","pro_immigrant","Group.1","Hsup"
16,4,3,4,2,2,4,3,3,2,2,5,0,0,0,0,0,4,4,3,12,5,3,3,3,16,0.5
17,2,3,2,2,3,2,3,1,1,3,4,0,0,0,0,0,3,3,3,12,3,1,2,6,17,0.333333333333333
18,2,3,2,2,2,2,3,1,1,3,3,1,0,0,0,0,4,4,4,1,3,1,2,3,18,0
18,2,3,4,2,2,2,3,1,1,1,5,0,0,0,0,0,4,4,3,1,4,1,1,6,18,0
18,4,3,4,4,3,4,3,1,2,1,2,1,1,0,0,0,2,2,4,2,2,1,1,6,18,0
19,2,4,2,2,2,3,3,1,1,1,NA,0,0,0,0,0,NA,NA,4,1,4,1,2,4,19,1
19,3,3,2,3,3,2,3,1,1,1,3,0,0,0,0,0,3,2,3,11,2,3,2,5,19,1
2,2,3,2,2,3,3,3,1,2,3,2,1,0,0,0,0,4,4,4,2,5,1,3,3,2,0
19,2,2,2,2,2,3,3,1,2,2,5,1,0,0,0,0,3,4,3,10,4,1,3,6,19,1
20,3,3,2,2,2,3,2,1,1,2,2,0,0,0,0,0,4,4,4,4,5,3,3,5,20,0
20,3,3,3,3,3,3,3,1,3,1,4,0,0,0,0,0,3,4,3,3,3,1,1,5,20,0
21,3,2,3,3,2,4,2,3,1,2,5,1,0,0,0,0,3,4,3,6,3,1,1,5,21,1
22,3,3,2,3,2,2,3,2,2,1,3,0,0,0,0,0,4,4,4,6,5,1,3,6,22,0
22,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,4,4,4,2,5,1,1,6,22,0
22,2,3,2,2,2,2,3,1,1,1,1,0,0,0,0,0,4,4,4,4,4,1,1,5,22,0
23,2,3,4,4,2,4,2,2,1,1,2,1,0,0,0,0,3,3,3,1,4,1,1,4,23,0
23,3,3,3,3,3,4,2,2,NA,NA,2,0,0,0,0,0,4,4,3,1,2,NA,NA,3,23,0
24,3,3,3,3,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,NA,NA
2,3,3,3,3,3,3,3,2,2,3,4,0,0,0,0,0,4,4,5,6,3,1,3,4,2,0
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,3,3,2,2,2,3,3,3,1,3,5,1,0,1,0,1,4,4,3,8,4,1,2,4,26,1
26,4,3,2,2,4,4,3,1,3,3,5,1,0,0,1,1,4,4,4,7,4,2,2,3,26,1
27,2,3,1,1,2,1,3,2,3,3,NA,1,0,0,0,0,NA,NA,3,12,4,3,3,6,27,0
28,2,3,2,2,2,3,2,1,2,1,5,1,0,0,0,0,3,4,3,1,4,1,3,1,28,0
28,2,4,1,1,2,2,1,3,3,3,5,1,1,0,0,0,2,3,3,3,4,3,3,3,28,0
28,2,3,2,3,3,3,3,2,3,1,5,1,0,0,0,0,4,4,4,3,4,2,3,4,28,0
29,2,3,2,2,3,4,2,3,2,1,2,0,0,0,0,0,3,4,3,5,3,1,3,4,29,0.5
29,2,3,1,2,2,3,3,3,3,1,4,1,0,0,0,0,4,4,4,1,4,1,3,5,29,0.5
30,2,3,3,2,3,2,3,3,1,1,3,0,0,0,0,0,3,3,3,12,4,3,3,4,30,0
2,3,3,3,3,3,3,3,3,1,3,4,1,1,0,0,1,4,4,4,9,5,2,3,4,2,0
30,3,3,2,2,3,3,3,3,3,1,5,1,0,0,0,0,2,2,4,4,4,1,3,3,30,0
31,3,3,3,3,3,3,3,3,3,3,4,1,1,1,0,1,4,4,3,12,5,3,3,5,31,0
32,2,3,2,2,2,2,2,1,1,1,5,1,0,0,0,0,4,4,4,1,5,1,2,6,32,0
32,3,3,2,3,3,4,2,2,1,1,2,1,0,0,0,0,4,4,4,1,3,1,2,3,32,0
32,3,3,3,3,3,3,3,3,1,2,4,0,0,0,0,0,3,4,3,6,4,3,3,5,32,0
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,33,0
33,3,3,3,3,3,3,3,3,1,1,5,1,0,0,0,0,2,4,2,1,4,1,3,6,33,0
34,2,3,3,2,4,4,3,3,1,3,5,1,1,0,0,0,2,2,4,4,2,1,1,5,34,0
34,2,3,2,3,3,4,3,1,1,1,1,0,0,0,0,0,3,3,4,12,5,3,2,3,34,0
3,2,3,2,2,2,3,3,1,1,1,4,1,0,0,0,0,3,4,3,1,3,1,1,5,3,0
35,2,3,2,2,2,4,2,1,1,3,5,1,1,0,0,0,3,3,4,1,3,1,1,3,35,0
35,2,3,2,2,3,4,3,1,2,2,4,0,0,0,0,0,4,4,3,2,4,1,1,6,35,0
36,2,3,2,2,2,2,2,1,2,1,3,1,0,0,0,0,4,4,4,4,5,2,3,1,36,0
37,2,3,2,2,3,2,3,1,1,3,3,1,0,0,0,0,3,3,3,12,4,1,3,5,37,0.666666666666667
37,3,3,2,2,3,2,3,3,3,3,5,1,1,1,0,0,4,4,4,12,5,1,3,6,37,0.666666666666667
37,2,2,2,2,2,2,2,1,1,3,5,1,1,1,1,0,4,4,3,2,5,1,3,3,37,0.666666666666667
38,2,3,2,3,2,3,3,1,1,1,4,1,0,0,0,0,2,4,4,2,4,1,1,5,38,0
38,2,2,1,1,2,4,2,1,1,1,NA,1,0,0,0,0,NA,NA,4,1,3,1,1,4,38,0
39,3,3,3,3,3,3,3,1,2,1,2,1,0,0,0,0,1,3,3,1,2,2,1,4,39,0
39,2,3,4,1,1,4,3,1,1,1,3,0,0,0,0,0,4,3,4,2,3,1,1,2,39,0
3,2,3,2,1,2,2,3,2,1,2,4,1,0,0,0,1,3,4,4,3,5,2,3,5,3,0
39,2,4,1,2,1,4,3,2,1,1,4,1,1,0,0,0,3,4,4,4,3,1,1,1,39,0
40,2,3,2,1,1,2,2,1,1,1,2,0,0,0,0,0,3,3,3,4,3,1,1,4,40,0
40,3,3,3,3,3,3,3,1,1,1,2,0,0,0,0,0,4,4,2,1,4,1,1,6,40,0
41,3,3,2,2,2,2,3,3,1,3,1,1,1,0,0,0,3,3,1,1,3,1,2,5,41,0
41,2,2,2,2,2,3,3,2,1,3,5,1,0,0,0,0,3,2,2,3,4,2,3,5,41,0
41,2,3,2,3,2,3,3,3,3,3,4,1,0,0,0,0,2,2,2,4,5,1,3,6,41,0
42,2,4,2,2,3,2,3,1,1,2,3,0,0,0,0,0,3,4,3,1,2,2,1,2,42,1
42,2,3,2,2,2,2,2,1,1,1,4,1,0,0,0,0,3,4,3,1,3,1,1,4,42,1
42,3,4,3,2,2,4,3,3,3,3,NA,1,0,0,1,0,NA,NA,2,3,4,3,2,4,42,1
43,4,4,4,3,4,3,3,3,1,2,5,1,0,0,0,0,3,4,3,2,4,2,1,6,43,0
4,2,2,2,2,2,2,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,1,3,4,NA,NA
43,2,3,1,1,2,3,3,1,1,1,5,0,0,0,0,0,1,2,3,1,3,1,1,3,43,0
44,4,1,2,3,4,5,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,3,3,0,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,4,1,2,2,3,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,2,2,3,NA,NA
45,2,3,2,2,3,3,3,1,3,1,3,1,0,0,0,0,3,4,4,3,3,1,1,5,45,0
45,3,3,3,3,3,3,3,1,1,2,1,0,0,0,0,0,4,4,3,1,3,1,3,5,45,0
46,2,1,2,2,3,3,3,3,1,1,4,1,0,0,0,0,2,3,4,1,4,1,3,5,46,0
46,3,3,2,2,3,2,3,1,1,2,2,1,0,0,0,1,4,4,4,1,4,2,1,4,46,0
46,2,3,2,2,2,1,2,2,2,3,5,1,0,0,0,0,3,4,4,12,5,2,3,2,46,0
47,2,3,2,3,2,4,3,1,1,3,4,0,0,0,0,0,1,4,2,1,1,1,1,2,47,0
