id,count
t0m1,1
t0m2,2
t0m3,3
t0m4,4
t0m5,5
t0m6,6
t0m7,7
t0m8,8
t0m9,9
t0m10,10
t0m11,11
t0m12,12
t0m13,13
t0m14,14
t0m15,15
t0m16,16
t0m17,17
t0m18,18
t0m19,19
t0m20,20
t0m21,21
t0m22,22
t0m23,23
t0m24,24
t0m25,25
t0m26,26
t0m27,27
t0m28,28
t0m29,29
t0m30,30
t0m31,31
t0m32,32
t0m33,33
t0m34,34
t0m35,35
t0m36,36
t0m37,37
t0m38,38
t0m39,39
t0m40,40
t0m41,41
t0m42,42
t0m43,43
t0m44,44
t0m45,45
t0m46,46
t0m47,47
t0m48,48
t1m1,49
t1m2,50
t1m3,51
t1m4,52
t1m5,53
t1m6,54
t1m7,55
t1m8,56
t2m1,57
t2m2,58
t2m3,59
t2m4,60
t3m1,61
t3m2,62
t3m3,63
t3m4,64
t3m5,65
t3m6,66
t3m7,67
t3m8,68
t3m9,69
t3m10,70
t3m11,71
t3m12,72
t5m1,73
t5m2,74
t5m3,75
t5m4,76
t5m5,77
t5m6,78
t5m7,79
t5m8,80
t5m9,81
t5m10,82
t5m11,83
t5m12,84
t5m13,85
t5m14,86
t5m15,87
t5m16,88
t5m17,89
t5m18,90
t5m19,91
t5m20,92
t5m21,93
t5m22,94
t5m23,95
t5m24,96
t5m25,97
t5m26,98
t5m27,99
t5m28,100
t5m29,101
t5m30,102
t5m31,103
t5m32,104
t6m1,105
t6m2,106
t6m3,107
t6m4,108
t6m5,109
t6m6,110
t6m7,111
t6m8,112
t7m1,113
t7m2,114
t7m3,115
t7m4,116
t7m5,117
t7m6,118
t7m7,119
t7m8,120
t7m9,121
t7m10,122
t8m1,123
t10m1,124
t10m2,125
t10m3,126
t10m4,127
t10m5,128
t10m6,129
t10m7,130
t10m8,131
t10m9,132
t10m10,133
t10m11,134
t10m12,135
t12m1,136
t12m2,137
t12m3,138
t12m4,139
t12m5,140
t12m6,141
t12m7,142
t12m8,143
t12m9,144
t12m10,145
t12m11,146
t12m12,147
t13m1,148
t13m2,149
t13m3,150
t13m4,151
t13m5,152
t13m6,153
t13m7,154
t13m8,155
t13m9,156
t13m10,157
t13m11,158
t13m12,159
t13m13,160
t13m14,161
t13m15,162
t13m16,163
t13m17,164
t13m18,165
t13m19,166
t13m20,167
t13m21,168
t13m22,169
t13m23,170
t13m24,171
t16m1,172
t16m2,173
t17m1,174
t17m2,175
t17m3,176
t18m1,177
t18m2,178
t18m3,179
t18m4,180
t18m5,181
t18m6,182
t18m7,183
t18m8,184
t18m9,185
t18m10,186
t18m11,187
t18m12,188
t19m1,189
t19m2,190
t19m3,191
t19m4,192
t19m5,193
t19m6,194
t19m7,195
t19m8,196
t19m9,197
t19m10,198
t20m1,199
t20m2,200
t20m3,201
t21m1,202
t21m2,203
t22m1,204
t22m2,205
t22m3,206
t22m4,207
t22m5,208
t22m6,209
t23m1,210
t23m2,211
t23m3,212
t23m4,213
t23m5,214
t23m6,215
t23m7,216
t23m8,217
t23m9,218
t23m10,219
t23m11,220
t23m12,221
t23m13,222
t23m14,223
t23m15,224
t23m16,225
t23m17,226
t23m18,227
t23m19,228
t23m20,229
t23m21,230
t23m22,231
t23m23,232
t23m24,233
t23m25,234
t23m26,235
t23m27,236
t23m28,237
t23m29,238
t23m30,239
t23m31,240
t23m32,241
t23m33,242
t23m34,243
t23m35,244
t23m36,245
t23m37,246
t23m38,247
t23m39,248
t23m40,249
t23m41,250
t23m42,251
t23m43,252
t23m44,253
t23m45,254
t23m46,255
t23m47,256
t23m48,257
t26m1,258
t26m2,259
t26m3,260
t26m4,261
t27m1,262
t27m2,263
t27m3,264
t27m4,265
t27m5,266
t27m6,267
t27m7,268
t27m8,269
t27m9,270
t27m10,271
t27m11,272
t27m12,273
t28m1,274
t28m2,275
t28m3,276
t28m4,277
t28m5,278
t28m6,279
t28m7,280
t28m8,281
t28m9,282
t28m10,283
t28m11,284
t28m12,285
t28m13,286
t28m14,287
t28m15,288
t28m16,289
t28m17,290
t28m18,291
t28m19,292
t28m20,293
t28m21,294
t28m22,295
t28m23,296
t28m24,297
t29m1,298
t29m2,299
t29m3,300
t29m4,301
t29m5,302
t29m6,303
t29m7,304
t29m8,305
t29m9,306
t29m10,307
t29m11,308
t29m12,309
t29m13,310
t29m14,311
t29m15,312
t29m16,313
t29m17,314
t29m18,315
t29m19,316
t29m20,317
t29m21,318
t29m22,319
t29m23,320
t29m24,321
t29m25,322
t29m26,323
t29m27,324
t29m28,325
t29m29,326
t29m30,327
t29m31,328
t29m32,329
t29m33,330
t29m34,331
t29m35,332
t29m36,333
t29m37,334
t29m38,335
t29m39,336
t29m40,337
t29m41,338
t29m42,339
t29m43,340
t29m44,341
t29m45,342
t29m46,343
t29m47,344
t29m48,345
