"V1","V2","V3","V4","V5","V6","V7","V8","df","logLik","AICc","delta","weight"
"(Intercept)",NA,NA,NA,NA,NA,NA,"ologit_socx_ivC",4,1510.58703648742,-3013.14202169278,6.48369470418947,0.0376209488325163
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Health_pseudo_pnl",NA,NA,NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"Flow_antiimm_ivC",NA,NA,NA,NA,NA,4,1510.44452262012,-3012.8569939582,6.76872243877688,0.0327878062976275
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"L2boots_income_iv",NA,NA,NA,NA,4,1511.86580169441,-3015.69955210676,3.92616429021018,0.123133875693038
"(Intercept)",NA,"Health_hybrid_mlm","level_year_reldenom_iv",NA,NA,NA,NA,5,1516.75773797902,-3023.46736048089,0,1
"(Intercept)",NA,"Health_hybrid_mlm",NA,NA,NA,NA,NA,4,1515.2866109294,-3022.54117057675,0.926189904138027,0.386251872505197
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"w1990_married_iv",4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","Health_pseudo_pnl",NA,NA,NA,NA,NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"country_dummies_only_year_as_count",NA,NA,NA,NA,NA,4,1510.273333856,-3012.51461642995,7.11109996702771,0.0277723251566228
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"socialistdummy_ivC_age_iv",4,1510.12560526702,-3012.21915925198,7.40655714498871,0.024049948046765
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"unemprate_ivC_leftright_iv",NA,4,1510.45611091792,-3012.88017055378,6.74554584319003,0.0331572996483427
"(Intercept)",NA,"Health_socult_ivC",NA,NA,NA,NA,NA,4,1517.30397021247,-3026.57588914289,0,1
"(Intercept)",NA,"Health_socult_ivC",NA,NA,"mlm_fe_ml_glm",NA,NA,5,1515.02260007038,-3019.99708466361,6.57880447927528,0.0359365496148647
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Flow_multimpute",NA,NA,NA,NA,4,1510.82775706895,-3013.62346285586,6.00225354111535,0.0473749953978521
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"L2boots_age_iv",NA,NA,NA,4,1510.76904491808,-3013.50603855411,6.11967784285935,0.0447945947806024
"(Intercept)",NA,NA,NA,"socult_ivC_education_iv",NA,NA,NA,4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)",NA,"income_iv_trust_iv",NA,"socult_ivC_education_iv",NA,NA,NA,5,1521.10512274436,-3032.16213001158,7.46755601092946,0.0233443760628455
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"IncDiff_age_iv",NA,NA,NA,NA,4,1511.03108113235,-3014.03011098265,5.59560541432393,0.0574430290206394
"(Intercept)",NA,"orig13_socult_ivC",NA,NA,NA,NA,NA,4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)",NA,"orig13_socult_ivC",NA,"socx_ivC_fbunempchange_ivC",NA,NA,NA,5,1521.47298643559,-3032.89785739403,6.7318286284758,0.0333778775516877
"(Intercept)",NA,NA,NA,NA,NA,"pos_test_pct_p10",NA,4,1518.1147963542,-3028.19754142635,0,1
"(Intercept)",NA,"fbunempchange_ivC_employed_iv",NA,NA,NA,"pos_test_pct_p10",NA,5,1515.71408398121,-3021.38005248527,6.81748894107295,0.0320232932845472
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"mlogit_age_iv",NA,NA,NA,4,1510.28045416924,-3012.52885705643,7.09685934054187,0.027965228704681
"(Intercept)",NA,NA,NA,NA,"hybrid_mlm_logit",NA,NA,4,1516.72758320559,-3025.42311512912,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,5.79739873214794,0.052217895518827
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"multimpute_education_iv",NA,NA,4,1513.071315236,-3018.11057918995,1.51513720702269,0.319174381312648
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"mlm_re_weights",NA,NA,NA,4,1510.65107676229,-3013.27010224254,6.35561415443772,0.0400094763957408
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"twowayfe_anynonlin",NA,4,1510.60829319505,-3013.18453510805,6.4411812889216,0.0383981707454333
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"socx_ivC_leftright_iv",NA,NA,4,1510.61661364736,-3013.20117601268,6.42454038429651,0.0387065757798176
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"ChangeFlow_reldenom_iv",NA,NA,NA,NA,NA,4,1510.76129739672,-3013.49054351139,6.13517288558569,0.0444642601817615
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
