"V1","V2","V3","V4","V5","V6","V7","V8","df","logLik","AICc","delta","weight"
"(Intercept)",NA,NA,"hybrid_mlm_level_country",NA,NA,NA,NA,4,1511.53791301552,-3015.04377474898,4.58194164799306,0.0918735192907015
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"IncDiff_sex_iv",NA,NA,NA,4,1512.04429504733,-3016.05653881262,3.56917758435475,0.143737435564001
"(Intercept)",NA,"ChangeFlow_socx_ivC",NA,NA,NA,NA,NA,4,1541.8249939707,-3075.61793665934,0,1
"(Intercept)",NA,"ChangeFlow_socx_ivC",NA,NA,"level_country_L2boots",NA,NA,5,1542.8132573872,-3075.57839929725,0.039537362091778,0.495057990682559
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"Scale_pseudo_pnl",NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"Unemp_pop_ivC",NA,4,1510.34778056858,-3012.66350985511,6.96220654186754,0.0298547087405672
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"level_year_orig13",NA,NA,4,1510.62276531978,-3013.21347935751,6.41223703945889,0.0389361201851967
"(Intercept)",NA,NA,NA,NA,NA,"socult_ivC_sex_iv",NA,4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)",NA,NA,NA,NA,NA,"socult_ivC_sex_iv","spss",5,1523.13574233238,-3036.22336918761,3.40631683489664,0.154053207651976
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"pseudo_pnl_w2006",NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"mlm_fe_age_iv",NA,NA,4,1511.90327733798,-3015.77450339391,3.85121300306355,0.127237671915472
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"pseudo_pnl_unbalpanel",NA,NA,4,1510.56214849626,-3013.09224571048,6.53347068649509,0.0367301607447641
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","ChangeFlow_household_iv",NA,NA,NA,NA,NA,NA,4,1510.32675153347,-3012.62145178489,7.00426461208463,0.0292516210505291
"(Intercept)",NA,NA,NA,NA,"mlm_fe_employed_iv","socult_ivC_education_iv",NA,5,1525.90048075666,-3041.75284603617,0,1
"(Intercept)",NA,NA,NA,NA,NA,"socult_ivC_education_iv",NA,4,1523.83086865228,-3039.62968602251,2.12316001366571,0.2570076291374
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"listwise_pseudo_pnl",NA,NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,"Unemp_socult_ivC",NA,4,1514.7578845476,-3021.48371781316,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.85800141618211,0.283127493141319
"(Intercept)","categorical_leftright_iv",NA,NA,NA,NA,NA,NA,4,1514.49594360947,-3020.95983593689,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.33411953991845,0.339155519795398
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"categorical_trust_iv",NA,NA,NA,NA,NA,4,1510.27608714645,-3012.52012301084,7.10559338612939,0.0278467635519596
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"year_dummies_only_mmodel",4,1511.59712966935,-3015.16220805664,4.46350834033228,0.0969349748020466
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"level_country_logit",NA,NA,NA,4,1511.12426395219,-3014.21647662233,5.40923977464308,0.0627012968494154
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"Stock_fract_ivC",NA,4,1510.62107299417,-3013.2100947063,6.4156216906772,0.038872842582549
"(Intercept)",NA,NA,NA,NA,"mlm_fe_un_emp_rate_ivC",NA,NA,4,1517.63279991015,-3027.23354853824,0,1
"(Intercept)",NA,"Jobs_socialistdummy_ivC",NA,NA,"mlm_fe_un_emp_rate_ivC",NA,NA,5,1514.93678089259,-3019.82544630804,7.40810223020208,0.0240318219415747
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"House_w1996",NA,NA,NA,NA,4,1511.01665250229,-3014.00125372253,5.62446267444284,0.0566667851438377
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"IncDiff_reldenom_iv",NA,NA,NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"L2boots_w2016",NA,NA,NA,4,1511.72815015189,-3015.42424902173,4.20146737524283,0.109025531093092
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"OldAge_regime_ivC",NA,NA,NA,4,1510.51020417469,-3012.98835706733,6.63735932964346,0.0349358968098318
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","ChangeFlow_level_year",NA,NA,NA,NA,NA,NA,4,1511.28162794848,-3014.5312046149,5.09451178207428,0.0726110534822383
"(Intercept)",NA,NA,NA,"neg_test_pct_p05",NA,NA,NA,4,1516.30434464955,-3024.57663801706,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,4.95092162008405,0.0775964735368809
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"Health_age2_iv",NA,NA,NA,NA,NA,4,1510.3571702671,-3012.68228925215,6.943427144819,0.030127870253442
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"decomm_ivC_education_iv",NA,NA,NA,NA,NA,4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"Stock_regime_ivC",4,1510.3561637367,-3012.68027619134,6.94544020563126,0.0300984731576625
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"mlm_re_w1996",NA,NA,NA,NA,NA,4,1511.6530272404,-3015.27400319875,4.35171319822575,0.10193962256465
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"main_IV_as_control_mlogit",NA,NA,NA,4,1510.28045416924,-3012.52885705643,7.09685934054187,0.027965228704681
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","antiimm_ivC_age2_iv",NA,NA,NA,NA,NA,NA,4,1510.33288754695,-3012.63372381186,6.99199258511453,0.0294263632646521
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"ologit_unemprate_ivC",NA,NA,NA,NA,4,1510.9218120685,-3013.81157285494,5.81414354203116,0.0518050853033125
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"Unemp_L2boots",4,1512.50763067822,-3016.98321007439,2.64250632258563,0.210609875651324
"(Intercept)",NA,NA,NA,NA,NA,NA,"Unemp_ChangeFlow",4,1517.23879542933,-3026.4455395766,0,1
"(Intercept)",NA,NA,NA,"mlm_re",NA,NA,"Unemp_ChangeFlow",5,1515.51671456344,-3020.98531364974,5.46022592686086,0.0612196702839102
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"level_country_L2boots",NA,NA,NA,NA,4,1511.86580169441,-3015.69955210676,3.92616429021018,0.123133875693038
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"weights_gdp_ivC",4,1510.60528823977,-3013.1785251975,6.44719119947467,0.0382873702982321
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"hybrid_mlm_unemprate_ivC",NA,NA,NA,NA,4,1510.63347308335,-3013.23489488466,6.39082151231651,0.0393387898731928
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"mlogit_age2_iv",NA,NA,4,1510.28045416924,-3012.52885705643,7.09685934054187,0.027965228704681
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Scale_year_dummies_only",NA,NA,NA,NA,4,1512.24659230216,-3016.46113332227,3.16458307470248,0.170471189236858
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"multimpute_employed_iv",NA,NA,4,1513.071315236,-3018.11057918995,1.51513720702269,0.319174381312648
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"hybrid_mlm_age2_iv",NA,4,1512.48490132678,-3016.9377513715,2.68796502547229,0.206855898656595
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"employed_iv_trust_iv",NA,NA,NA,NA,4,1510.13814990591,-3012.24424852977,7.38146786720426,0.0243461547951858
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"level_year_bayes",NA,NA,4,1510.62276531978,-3013.21347935751,6.41223703945889,0.0389361201851967
"(Intercept)","AME_neg_p05",NA,NA,NA,NA,NA,NA,4,1526.89835905414,-3045.76466682622,0,1
"(Intercept)","AME_neg_p05",NA,NA,NA,NA,"w1996_emigration_ivC",NA,5,1524.42539274072,-3038.8026700043,6.96199682192355,0.0298577459921476
"(Intercept)","ChangeFlow_age2_iv","hybrid_mlm_occclass_iv",NA,NA,NA,NA,NA,5,1556.69274110311,-3103.33736672907,0,1
"(Intercept)","ChangeFlow_age2_iv",NA,NA,NA,NA,NA,NA,4,1555.36677249265,-3102.70149370324,0.635873025826186,0.421178717616795
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"conservatism_ivC_decomm_ivC",NA,NA,NA,NA,NA,4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"Scale_ChangeFlow",NA,4,1513.29249287638,-3018.55293447071,1.07278192625972,0.369027534888811
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Jobs_pseudo_pnl",NA,NA,NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,NA,"socult_ivC_age_iv",4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)",NA,NA,"level_cyear_emplrate_ivC",NA,NA,NA,"socult_ivC_age_iv",5,1522.14757181361,-3034.24702815008,5.38265787242699,0.0634869587680437
"(Intercept)",NA,NA,NA,NA,NA,"socult_ivC",NA,4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)",NA,"Jobs_leftright_iv",NA,NA,NA,"socult_ivC",NA,5,1520.86154979775,-3031.67498411835,7.9547019041579,0.0183906515028526
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"mcp_ivC_conservatism_ivC",NA,NA,NA,4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"mcp_ivC_decomm_ivC",NA,NA,NA,NA,4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"mlm_re_employed_iv",NA,NA,4,1510.14523816315,-3012.25842504425,7.3672913527239,0.0245150940241014
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"mlm_fe_dichotomize",NA,NA,NA,4,1512.2730396127,-3016.51402794334,3.11168845363409,0.174243782418304
"(Intercept)","ChangeFlow_listwise",NA,NA,NA,NA,NA,NA,4,1516.02923933913,-3024.0264273962,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,4.40071099922625,0.0997185696795599
"(Intercept)",NA,NA,"House_hybrid_mlm",NA,NA,NA,NA,4,1518.22337603126,-3028.41470078047,0,1
"(Intercept)",NA,NA,"House_hybrid_mlm",NA,"mlm_any_ml_glm",NA,NA,5,1518.71166000554,-3027.37520453394,1.03949624652614,0.372911132778013
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"OldAge_pseudo_pnl",NA,NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"logit_orig13",NA,NA,NA,NA,4,1510.99666051486,-3013.96126974766,5.66444664930987,0.0556075238802348
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"hybrid_mlm_w2006",4,1511.53791301552,-3015.04377474898,4.58194164799306,0.0918735192907015
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"pseudo_pnl_w2016",NA,4,1512.79948415379,-3017.56691702553,2.05879937144618,0.263200504162071
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"mlm_fe_weights",NA,4,1510.45831798619,-3012.88458469033,6.74113170664305,0.0332281265551971
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"leftright_iv_anynonlin",NA,NA,NA,NA,4,1513.75084908007,-3019.46964687808,0.156069518890035,0.480501203837267
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","ChangeFlow_level_year",NA,NA,NA,NA,NA,NA,4,1511.28162794848,-3014.5312046149,5.09451178207428,0.0726110534822383
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"ml_glm_decomm_ivC",NA,NA,NA,NA,4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"level_country_pseudo_pnl",NA,NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)","ChangeFlow_year_dummies_only",NA,NA,NA,NA,NA,NA,4,1555.59760645296,-3103.16316162386,0,1
"(Intercept)","ChangeFlow_year_dummies_only","decomm_ivC_un_emp_rate_ivC",NA,NA,NA,NA,NA,5,1553.0913312306,-3096.13454698406,7.02861463979798,0.0289078741847571
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"IncDiff_orig13",NA,NA,NA,NA,4,1513.44975091849,-3018.86745055492,0.758265842052424,0.406336042981538
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"hybrid_mlm_level_cyear",NA,NA,NA,NA,4,1511.72794677401,-3015.42384226598,4.20187413099711,0.109005776747517
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","Health_year_dummies_only",NA,NA,NA,NA,NA,NA,4,1511.27498405831,-3014.51791683457,5.1077995624064,0.0721649310495507
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"house_w",NA,NA,NA,NA,4,1510.98845341976,-3013.94485555748,5.68086083949493,0.055178094210323
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"level_year_orig13",NA,NA,NA,NA,NA,4,1510.62276531978,-3013.21347935751,6.41223703945889,0.0389361201851967
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Flow_decomm_ivC",NA,NA,NA,NA,4,1512.83183481291,-3017.63161834376,1.99409805320875,0.269522013408282
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"pseudo_pnl_w2006",NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)","ChangeFlow_logit",NA,NA,"spss",NA,NA,NA,5,1613.48085937816,-3216.91360327918,0,1
"(Intercept)","ChangeFlow_logit",NA,NA,NA,NA,NA,NA,4,1611.00345933949,-3213.97486739692,2.93873588225688,0.187038702812369
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"multimpute_sex_iv",NA,NA,NA,4,1513.071315236,-3018.11057918995,1.51513720702269,0.319174381312648
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"ginin_ivC_anynonlin",NA,NA,NA,NA,NA,4,1510.6465572194,-3013.26106315675,6.36465324022083,0.0398362469760863
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"socialistdummy_ivC_age2_iv",NA,4,1510.12560526702,-3012.21915925198,7.40655714498871,0.024049948046765
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","ChangeFlow_occclass_iv",NA,NA,NA,NA,NA,NA,4,1510.76129739672,-3013.49054351139,6.13517288558569,0.0444642601817615
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"mlm_any_anynonlin",NA,NA,4,1510.46250334629,-3012.89295541052,6.73276098645283,0.0333628401197989
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"ologit_education_iv",4,1510.99117945838,-3013.95030763471,5.6754087622603,0.055320384521959
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"level_cyear_bayes",NA,4,1509.9718824072,-3011.91171353236,7.71400286461585,0.0206939781543867
"(Intercept)","ChangeFlow_listwise",NA,NA,NA,"level_cyear_year_dummies_only",NA,NA,5,1518.44843563822,-3026.8487557993,0,1
"(Intercept)","ChangeFlow_listwise",NA,NA,NA,NA,NA,NA,4,1516.02923933913,-3024.0264273962,2.82232840310189,0.196050496155015
"(Intercept)",NA,NA,NA,NA,NA,NA,"hybrid_mlm_inv_weight_H",4,1514.55305036836,-3021.07404945467,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.44833305769316,0.326476145564474
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"level_cyear_urban_iv",NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"pseudo_pnl_education_iv",NA,4,1510.56214849626,-3013.09224571048,6.53347068649509,0.0367301607447641
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"year_dummies_only_ols",4,1513.34489052921,-3018.65772977636,0.967986620609736,0.381309607580764
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"Hsup",NA,NA,4,1510.28381162939,-3012.53557197673,7.09014442023863,0.0280566399165776
"(Intercept)",NA,NA,NA,"mlm_fe_level_country","pseudo_pnl",NA,NA,5,1516.789466281,-3023.53081708486,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,3.90510068788535,0.124275535316138
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"mlm_fe_listwise",NA,NA,4,1510.33524431336,-3012.63843734466,6.98727905231044,0.0294937482802763
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"level_country_L2boots",NA,NA,NA,4,1511.86580169441,-3015.69955210676,3.92616429021018,0.123133875693038
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","emigration_ivC_employed_iv",NA,NA,NA,NA,NA,NA,4,1510.36040960542,-3012.68876792878,6.93694846819153,0.0302226685146645
"(Intercept)","categorical_leftright_iv",NA,NA,NA,NA,NA,NA,4,1514.49594360947,-3020.95983593689,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.33411953991845,0.339155519795398
"(Intercept)",NA,"ologit_leftright_iv",NA,NA,NA,NA,NA,4,1514.49594360947,-3020.95983593689,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.33411953991845,0.339155519795398
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Health_pseudo_pnl",NA,NA,NA,NA,4,1513.27398929892,-3018.51592731578,1.10978908119205,0.364729585474446
"(Intercept)","IncDiff_ChangeFlow",NA,NA,NA,NA,NA,NA,4,1521.37266859208,-3034.71328590211,0,1
"(Intercept)","IncDiff_ChangeFlow",NA,NA,"ols_ginin_ivC",NA,NA,NA,5,1518.90343398394,-3027.75875249073,6.95453341138091,0.0299660293912348
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"Stock_decomm_ivC",NA,4,1511.77548750124,-3015.51892372043,4.10679267654768,0.113709649780664
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"IncDiff_decomm_ivC",NA,NA,NA,4,1510.58323078483,-3013.1344102876,6.49130610937254,0.0374834032389851
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"Health_occclass_iv",NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)","ChangeFlow_unbalpanel",NA,NA,"IncDiff_pseudo_pnl",NA,NA,NA,5,1537.38061712879,-3064.71311878043,0,1
"(Intercept)","ChangeFlow_unbalpanel",NA,NA,"IncDiff_pseudo_pnl","main_IV_as_control_pop_ivC",NA,NA,6,1534.85463595751,-3057.64185618467,7.07126259575944,0.0283152388275689
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","decomm_ivC_married_iv",NA,NA,NA,NA,NA,NA,4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,"ChangeFlow_listwise",NA,NA,NA,NA,4,1516.02923933913,-3024.0264273962,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,4.40071099922625,0.0997185696795599
"(Intercept)",NA,NA,NA,NA,"mlm_fe_socx_ivC",NA,NA,4,1514.55727134796,-3021.08249141387,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.45677501690125,0.325548677280769
"(Intercept)",NA,NA,"mlm_fe_unbalpanel",NA,NA,NA,"w1996_socult_ivC",5,1526.4079983692,-3042.76788126126,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"w1996_socult_ivC",4,1523.83086865228,-3039.62968602251,3.13819523874918,0.17234507127921
"(Intercept)",NA,"categorical_leftright_iv",NA,NA,NA,NA,NA,4,1514.49594360947,-3020.95983593689,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.33411953991845,0.339155519795398
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"Jobs_L2boots",NA,NA,NA,4,1512.3374193991,-3016.64278751615,2.98292888082005,0.183702024665679
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"House_unbalpanel",NA,NA,NA,NA,NA,4,1510.92290606287,-3013.8137608437,5.81195555327577,0.051858850106253
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"w1996_antiimm_ivC",NA,4,1510.33288754695,-3012.63372381186,6.99199258511453,0.0294263632646521
