"","Effect","m00","m01","m02","m04","m06","m07","m09","m10","m11","m12","m13"
"35","AIC","-3023.708","-3005.016","-2985.374","-2984.818","-2931.840","-2902.785","-2910.576","-2908.239","-2911.062","-2911.365","-2913.763"
"36","log-Likelihood","1514.854","1508.508","1500.687","1502.409","1482.920","1472.393","1475.288","1474.120","1475.531","1475.682","1476.881"
