"","V1","V2","V3","V4"
"belief_1",2.4,0.6,1,5
"belief_2",2.5,0.6,1,5
"pro_immigrant_mean",4.5,1.1,1,6
"taught_stat_courses",5.4,3.7,1,12
"mlm_familiarity",4.1,0.8,1,5
"stat_pubs",1.9,0.8,1,3
"topic_interest",4.1,1,1,5
"topic_imm_pubs",2.1,0.9,1,3
"topic_policy_pubs",1.7,0.9,1,3
