v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142
1950,115008,1,1,2,2,2,3,3,3,3,3,3,3,2,2,3,3,1,2,5,5,1,2,1,2,1,1,2,1,2,4,2,3,2,2,3,3,4,3,2,2,4,3,3,1,3,2,2,2,1,1,1,2,2,2,2,2,2,69,1,,7,5,,,,,,,,,,,,,2,2,,6,3,2,2,1,2,2,,43,4,2,1,10,,7,,4505,,2,12832,3,6416,2,1,1,1,11,,4103,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,115027,1,,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,4,4,2,2,3,3,2,2,3,2,2,4,3,2,3,3,4,3,4,4,2,2,3,3,3,2,3,2,3,2,2,2,2,3,2,2,2,3,2,46,1,,2,24,5301,,5,,,,3,2,,2,,3,2,2,,10,4,4,3,3,3,4,,44,6,2,1,10,,1,,7211,,3,43000,9,16000,4,1,1,1,10,,6000,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
1950,115028,1,,2,2,2,3,3,3,2,2,2,2,2,2,3,3,1,3,5,5,3,3,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,1,2,3,3,3,1,2,1,3,2,2,2,2,2,3,1,2,3,2,21,5,2,6,,6301,,6,,,,,2,,2,,5,2,2,,12,5,2,2,3,2,2,,10,4,4,2,,,,,,,3,5000,1,5000,1,1,2,2,14,,1303,10,,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,
1950,115034,1,1,2,2,2,4,4,4,2,2,2,2,2,3,3,2,1,2,4,4,3,4,4,2,2,4,1,2,4,4,3,2,2,3,2,2,4,4,2,1,3,2,4,1,3,3,4,3,2,3,3,3,4,2,3,2,2,65,1,,7,,8105,,8,,,,,2,,2,,5,2,2,,12,5,4,1,1,4,3,,43,5,2,1,10,,7,,8907,,2,15000,3,,,1,1,1,6,,1401,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,115044,1,1,2,2,3,3,3,3,4,4,4,4,1,1,2,1,,3,5,4,1,1,2,2,1,2,2,1,2,2,4,2,2,4,2,2,4,5,2,1,3,3,3,2,2,2,,,2,2,2,4,2,2,2,3,1,89,1,,,,,,,,,,,,,,,,2,2,,11,5,2,2,3,2,2,,49,6,4,1,,,7,,,,2,,,,,1,1,1,6,,4701,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1950,115047,1,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,2,2,5,5,3,2,2,2,2,2,3,2,2,4,2,2,2,2,4,2,4,3,1,1,2,2,5,2,2,3,3,2,2,2,2,2,3,,,2,2,27,1,,2,24,3401,,3,,,,3,2,,2,,,2,2,,13,5,4,1,3,6,95,,49,1,2,1,14,,1,,2607,,2,33560,7,15780,4,1,1,1,10,,3101,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
1950,115052,1,2,2,2,2,4,4,4,2,2,3,3,1,3,4,4,1,1,5,5,1,1,2,2,4,2,3,1,3,3,2,2,2,2,4,2,3,5,2,5,1,2,1,1,3,3,2,2,2,1,3,3,1,3,2,1,1,54,1,,,,,,,,,,,,,,,,,2,,10,4,2,2,1,2,2,,10,1,2,,,,,,,,1,,,,,1,3,3,14,,5500,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115053,1,2,2,2,2,4,4,4,3,3,3,4,2,1,3,2,,3,4,5,3,3,3,3,2,1,3,2,2,2,2,3,3,3,3,2,5,4,,1,3,2,4,3,3,3,2,2,2,2,3,3,2,2,2,5,2,19,5,2,1,40,5103,,5,,,,3,2,,2,,3,,2,,12,5,,,,4,1,,44,6,4,6,,,,,,,,9000,2,9000,2,1,1,1,11,,7105,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115071,1,1,1,2,2,4,4,4,3,3,4,4,2,2,2,2,2,2,5,5,2,3,3,2,1,2,3,2,3,4,2,1,1,1,2,2,2,4,2,2,2,3,4,2,3,2,3,2,1,1,1,2,3,2,2,3,2,73,2,2,7,,,,,,,,,,,,,,2,2,,6,3,2,2,2,2,2,,90,6,2,1,3,,,,,,2,6700,2,6700,2,1,1,1,3,,4601,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
1950,115085,1,2,1,1,1,3,3,2,1,1,1,1,2,2,3,2,1,2,3,4,2,2,2,4,3,2,2,2,3,4,2,2,2,2,4,3,4,2,1,3,3,3,1,1,3,3,3,2,2,2,2,2,3,2,2,1,2,60,1,,,,,,,,,,,,,,,,2,2,,8,4,2,2,2,2,2,,10,1,4,1,11,,1,,,,4,,,,,1,1,1,11,,4703,10,,,,3,1,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,
1950,115093,1,,1,1,1,3,4,3,3,3,4,4,2,2,2,2,,2,5,5,2,2,1,3,3,3,1,1,3,4,1,1,2,2,4,3,5,4,,1,3,2,3,2,2,2,1,1,2,2,2,3,2,2,2,2,1,40,1,,10,60,2805,,2,,,,,1,,2,,,2,1,10,16,6,3,4,2,3,4,,52,4,4,1,,,,,,,3,21000,5,,,1,1,1,3,,6505,3,,,,37,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
1950,115101,1,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,1,2,3,5,2,2,2,2,4,2,5,1,4,2,3,3,4,2,5,2,3,2,1,3,2,4,2,1,3,2,2,2,2,2,2,2,2,2,2,3,2,24,1,1,3,20,5907,,5,,,,3,2,,1,1,4,2,2,,16,6,2,2,2,2,2,,90,6,4,2,14,,1,,1311,,2,5800,2,5800,2,1,1,1,10,,2503,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115109,1,1,1,1,2,3,3,3,3,1,1,1,1,3,3,3,1,2,5,5,1,4,4,4,1,1,1,1,4,4,2,2,1,1,4,2,4,4,1,2,2,3,3,1,3,2,3,3,2,2,2,2,3,1,2,2,2,66,1,,1,50,1601,,1,,,,,1,96,2,,,2,2,,12,5,4,1,1,4,1,,44,1,6,1,10,,1,,1305,,2,56000,11,28000,6,1,1,1,3,,4103,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1950,115122,1,2,1,1,2,4,4,4,3,1,3,1,1,1,4,4,1,1,5,5,2,4,2,2,1,2,2,1,4,4,2,1,2,2,4,1,4,2,1,1,2,2,3,1,2,2,1,1,1,1,2,3,3,2,2,2,1,69,2,2,,,5303,,5,,,,3,2,,1,98,6,2,2,,9,4,4,1,3,4,1,,44,3,4,1,12,,7,,5303,,3,14000,3,14000,3,1,2,2,3,,7105,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,
1950,115125,1,2,1,1,1,3,4,1,1,1,2,2,1,4,4,4,1,1,3,5,1,1,4,4,2,1,5,1,1,3,1,2,2,3,5,1,1,2,1,3,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,82,1,,7,39,3999,,3,,,,,2,,2,,6,2,2,,14,5,2,2,1,3,5,,90,5,4,1,12,,7,,5101,,2,8000,2,5000,1,1,1,1,,,,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115135,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,3,4,4,4,2,2,2,2,4,4,4,2,2,2,4,1,2,2,1,2,3,3,3,2,2,2,3,3,2,1,2,3,3,2,3,2,1,68,1,,7,,7203,,7,,,,,2,,1,5,4,2,2,,7,3,2,2,2,2,2,,90,6,4,1,,,,,,,2,8700,2,8700,2,1,2,2,10,,1501,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,115138,1,1,2,2,3,3,4,4,3,3,4,4,1,2,1,1,2,5,5,5,3,1,1,1,4,1,3,1,1,5,1,1,2,1,2,2,5,4,1,3,3,4,2,2,1,3,1,1,1,1,1,3,2,3,2,2,2,34,1,,8,,8921,,8,,,,,2,,2,,3,2,2,,10,4,2,2,1,2,2,,10,1,2,1,,,,,,,3,43092,9,5000,1,1,1,1,10,,5103,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,2,1,,,,,
1950,115141,1,1,2,2,2,3,4,3,2,2,4,4,3,4,4,4,1,3,4,2,3,3,3,3,3,2,2,2,3,4,2,2,2,3,3,3,3,3,,3,4,3,3,,,,2,2,1,1,2,,,2,1,3,2,27,1,,,,8105,,8,,,,3,2,,2,,7,2,2,,10,4,3,4,3,3,4,,10,5,,2,14,,1,,1601,,3,21728,5,5000,1,1,1,1,12,,4401,12,,,,15,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
1950,115144,1,1,2,2,2,3,3,3,2,2,2,2,2,3,3,3,,2,4,4,3,4,4,2,2,4,3,2,4,5,2,3,3,2,5,3,4,3,,2,3,3,4,3,3,3,3,2,2,1,1,2,3,2,3,4,2,42,1,,2,13,6301,,6,,,,3,2,,2,,3,2,2,,12,5,7,96,1,4,1,,90,4,2,1,15,,1,,6105,,4,60033,12,18932,4,1,1,1,10,,8401,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
1950,115147,1,1,2,2,3,4,4,4,2,2,2,2,2,2,2,2,2,4,5,5,3,4,4,4,1,4,1,2,4,5,2,2,2,5,1,2,5,5,1,1,2,1,4,2,3,2,3,3,2,1,2,3,3,2,3,1,1,42,5,2,1,48,6101,,6,,,,3,2,,1,1,8,1,2,,11,5,4,1,2,4,1,,10,1,4,1,,,,,,,1,74000,13,74000,13,1,1,1,10,,1305,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115149,1,,2,2,2,3,4,3,2,2,2,2,2,3,3,3,,2,2,3,2,2,2,1,1,1,3,1,1,2,2,1,2,1,3,,1,3,1,4,4,3,3,2,2,1,2,1,1,1,1,1,1,1,1,2,1,45,,,5,,,,,,,,,,,,,,2,1,,12,5,2,2,1,2,2,,30,1,6,2,,,,,,,,,,,,1,1,1,96,,4703,96,,,,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115151,1,1,1,1,2,4,4,4,1,1,1,1,1,1,3,4,1,2,5,5,1,4,3,2,2,3,3,1,3,4,3,3,2,2,3,3,4,4,1,1,,3,4,2,3,2,3,2,2,3,3,3,3,2,2,3,2,61,5,2,1,55,2400,,2,,,,3,2,,2,,4,1,2,,14,5,4,1,3,4,1,,49,1,2,1,,,,,,,2,44035,9,44035,9,1,1,1,12,,3901,14,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1950,115152,1,1,2,2,3,4,4,3,2,2,3,3,2,3,3,2,2,2,4,4,2,4,4,4,4,3,4,2,4,4,1,2,2,1,3,2,3,2,2,3,3,4,2,1,3,2,3,3,2,2,2,2,3,2,2,2,2,71,3,2,7,,5101,,5,,,,,,,,,,2,2,,10,4,2,2,1,2,2,,49,1,4,1,14,,7,,1601,,,6805,2,6805,2,1,1,1,10,,4000,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,115161,1,2,2,2,3,3,3,4,2,3,3,3,2,2,2,3,1,3,4,4,1,1,4,2,1,4,2,2,3,5,5,2,2,2,5,2,4,5,2,2,2,3,4,3,2,2,1,2,2,2,2,2,1,2,2,3,1,72,5,2,7,,,,,,,,,,,2,,,2,2,,6,3,3,4,3,4,1,,10,4,2,1,,,,,,,,8544,2,8544,2,1,1,1,10,,,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115169,1,1,2,2,2,4,4,4,4,2,4,3,2,3,4,3,1,2,5,5,3,4,4,3,2,2,2,2,4,4,2,3,2,3,3,3,3,3,1,2,2,3,3,1,1,1,3,2,1,1,2,2,3,2,2,2,2,43,1,,6,,,,,,,,,,,,,,2,2,,10,4,2,2,2,2,2,,10,1,2,6,15,,1,,2799,,3,44174,9,,,1,2,2,10,,4905,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,115175,1,2,1,1,2,4,4,3,2,2,2,2,2,2,3,3,1,2,5,3,2,2,4,4,2,3,2,2,5,5,3,2,3,3,3,3,4,4,1,2,3,2,4,2,2,2,3,3,2,2,2,2,3,2,2,2,1,69,1,,7,,6301,,6,,,,,1,,2,,,2,2,,12,5,4,1,2,4,1,,44,4,4,1,10,,7,,1201,,2,14880,3,6949,2,1,1,1,6,,6103,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,115180,1,2,2,2,2,3,3,3,2,2,2,2,2,3,3,2,1,3,5,3,2,2,2,4,4,2,2,2,4,4,3,3,2,2,3,2,4,3,1,2,3,2,3,1,2,2,3,2,2,2,2,2,2,2,2,2,1,68,1,,7,,,,,,,,,,,,,,2,2,,10,4,4,1,2,4,1,,44,4,4,1,11,,7,,5101,,2,15360,4,7680,2,1,1,1,11,,4805,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,115181,1,2,2,2,3,4,4,4,2,2,2,2,2,3,3,2,1,3,5,5,3,5,4,4,1,2,2,1,3,5,2,1,3,1,5,1,5,3,1,3,3,2,3,2,3,3,4,3,1,1,2,4,3,4,3,2,1,24,1,1,1,40,2213,,2,,,,3,2,,2,,5,2,2,,16,6,3,4,3,4,1,,10,5,4,2,11,,1,,5101,,2,25300,6,25300,6,1,1,1,14,,3913,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115191,1,2,2,1,2,3,4,3,4,4,4,4,2,2,2,1,1,2,3,5,2,2,1,2,5,1,4,1,1,4,1,2,2,2,3,2,2,2,1,2,2,3,3,1,2,2,1,2,1,1,1,2,2,1,2,2,1,34,5,2,10,,8105,,8,,,,,2,,2,,4,2,2,,12,5,2,2,2,2,2,,10,1,4,1,,,,,,,1,5404,2,5404,2,1,1,1,,,8000,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115193,1,1,1,1,1,3,4,4,1,2,3,3,1,1,1,1,,2,4,5,2,4,2,2,1,2,2,2,2,4,2,2,2,2,3,3,4,3,,1,3,3,4,1,3,3,3,2,2,3,2,3,3,2,3,3,2,38,1,,1,38,5101,,5,,,,3,2,,2,,5,2,2,,12,5,4,1,2,3,4,,44,4,2,1,12,,1,,8923,,4,46450,10,25650,6,1,1,1,10,,2213,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1950,115197,1,1,2,2,3,4,4,4,3,3,3,3,2,3,3,3,1,4,5,4,2,2,4,4,2,3,2,2,4,4,4,3,2,2,3,3,4,4,1,2,3,3,4,2,3,3,2,2,2,2,2,3,3,2,2,2,1,72,1,,7,,5101,,5,,,,,2,,,98,6,2,2,,13,5,4,1,2,4,1,,44,5,4,1,10,,8,,5101,,2,29012,6,25012,6,1,1,1,3,,1601,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,115199,1,1,2,2,4,4,4,4,4,2,4,3,1,1,1,1,1,4,5,5,2,2,2,2,3,1,3,1,2,2,3,3,3,3,4,3,3,4,2,3,3,3,2,2,2,2,3,1,1,1,1,3,3,2,3,2,1,88,1,,7,,,,,,,,,,,,,,1,2,,7,3,2,2,2,2,2,,44,4,2,1,6,,7,,,,2,14000,3,7000,2,1,1,1,10,,4201,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115209,1,2,1,1,1,4,4,2,1,1,1,1,2,3,3,3,1,2,3,5,1,2,2,2,4,2,4,2,3,3,2,2,2,2,4,2,3,3,2,3,3,4,2,2,2,2,2,2,1,1,2,2,2,2,2,3,1,32,5,2,10,,2405,,2,,,,,2,,1,60,5,2,2,,15,6,2,2,2,2,2,,10,1,4,6,,,,,,,2,,,,,1,1,1,10,,,10,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1950,115211,1,2,1,1,1,3,4,3,4,4,4,4,1,2,4,2,1,2,5,5,2,4,4,4,3,2,4,1,4,4,2,2,2,1,5,2,4,1,2,1,3,3,3,1,3,2,3,3,2,2,3,3,4,1,2,3,1,65,1,,1,35,4925,,4,,,,3,2,,1,4,5,2,2,,9,4,4,1,2,4,1,,90,6,2,6,,,,,,,3,46300,10,23300,5,1,1,1,10,,3905,14,,,,2,1,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,
1950,115220,1,1,1,1,1,3,4,2,2,2,2,2,2,2,2,3,1,3,5,2,3,5,5,5,1,4,2,2,4,5,3,4,1,1,4,4,5,4,2,1,3,4,5,3,3,3,3,3,2,2,3,3,4,2,3,2,1,43,1,,1,55,1303,,1,,,,3,2,2,1,10,7,2,2,,12,5,4,1,1,4,1,,44,6,4,1,,,,,,,3,140200,16,120200,16,1,1,1,15,,1313,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
1950,115228,1,1,1,2,2,4,4,3,2,2,2,2,2,2,3,2,1,3,5,5,2,4,4,4,2,3,3,2,4,4,2,3,3,2,4,3,4,3,1,2,3,3,3,2,3,3,2,2,2,2,2,2,3,2,3,2,1,65,1,,7,,2209,,2,,,,,2,3,1,98,7,2,2,,16,6,4,1,2,4,1,,10,4,6,1,15,,1,,2911,,3,56000,11,56000,11,1,1,1,11,,,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,
1950,115231,1,1,2,2,2,3,4,4,2,2,4,4,2,3,3,3,1,3,5,5,2,4,4,4,3,4,2,2,4,4,2,2,2,2,2,2,4,4,1,2,3,3,1,2,3,3,2,2,2,2,2,3,3,2,2,2,2,36,3,2,1,40,5101,,5,,,,3,2,,2,,1,2,1,1,11,5,4,1,2,4,1,,10,4,4,1,15,,1,,2211,,2,28000,6,28000,6,1,1,1,12,,1601,10,,,,4,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
1950,115234,1,1,1,1,1,3,4,3,2,2,2,2,1,2,2,2,1,2,4,4,3,3,2,2,2,4,2,2,3,5,2,2,2,2,4,3,4,4,1,2,4,3,3,2,3,3,3,2,2,2,2,3,3,2,2,3,1,28,1,,3,42,4307,,4,,,,3,2,,2,,8,1,2,,11,5,2,2,3,2,2,,10,4,4,1,11,,1,,5101,,2,51000,11,31000,7,1,2,2,10,,4401,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,115243,1,,1,1,2,3,3,2,1,1,1,1,1,2,3,2,1,3,5,5,1,1,3,1,3,2,3,2,3,2,4,2,3,2,5,2,3,5,,5,3,4,1,1,2,2,1,1,1,1,2,2,2,3,2,3,1,64,2,2,7,,4101,,4,,,,,2,,2,,6,2,2,,8,4,2,2,1,2,2,,41,5,2,2,10,,,,,,,8240,2,8240,2,1,1,1,10,,5000,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
1950,115245,1,1,1,1,1,3,4,4,3,2,4,4,2,2,2,3,1,1,5,5,3,4,3,2,1,5,3,2,2,5,1,2,2,2,4,2,5,4,2,1,3,3,4,3,3,3,3,2,3,1,2,4,4,2,2,2,2,28,1,,2,20,5101,,5,,,,3,2,,2,,8,2,2,,10,4,4,1,2,4,1,,10,5,4,1,14,,1,,2200,,3,54160,11,23960,5,1,1,1,10,,2505,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
1950,115254,1,2,2,3,3,3,4,4,2,3,4,4,1,1,1,1,1,4,5,5,3,5,5,5,1,1,1,1,4,5,5,1,1,1,4,1,5,2,1,1,3,1,5,3,3,3,4,1,2,1,1,4,1,2,2,1,1,38,1,,1,55,5503,,5,,,,3,2,,1,4,2,2,2,,10,4,4,1,1,4,1,,44,4,4,1,,,,,,,4,72040,13,63040,12,1,1,1,3,,4403,10,,,,4,1,,,,,,,,,,,,,,,,,,,,,3,2,1,,,,,
1950,115262,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,1,,1,50,4311,,4,,,,1,2,,1,5,8,1,2,,10,4,2,2,2,2,2,,90,5,2,1,11,,8,,6401,,4,50936,11,30000,6,1,1,1,10,,4209,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
1950,115275,1,1,2,1,1,3,4,2,4,3,4,4,1,1,1,1,1,2,4,5,1,1,2,1,4,1,2,1,1,2,3,3,3,2,4,3,4,4,1,2,1,4,3,3,2,1,1,1,2,1,2,3,1,1,2,4,2,35,1,,2,24,3401,,3,,,,3,2,,1,5,,2,1,12,15,6,7,96,2,2,2,,93,5,4,1,15,,1,,2303,,4,61152,12,5000,1,1,1,1,14,,2605,6,,,,36,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
1950,115285,1,2,2,2,2,3,4,4,2,3,3,3,2,2,3,3,1,2,4,5,1,3,2,2,,2,2,2,1,2,2,2,2,,4,2,4,4,2,3,3,3,2,1,3,3,3,2,2,2,2,2,2,2,2,2,1,83,1,,7,,1401,,1,,,,,,,,,,2,2,,9,4,2,2,1,2,2,,44,5,2,6,14,,7,,2400,,2,15184,4,7592,2,1,1,1,10,,8415,10,,,,9,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,115287,1,2,1,1,1,3,3,3,3,2,3,2,1,1,2,1,1,2,4,4,2,3,1,1,1,4,2,2,4,4,2,2,2,2,4,3,2,3,2,4,3,3,2,1,2,2,3,2,2,2,3,2,3,2,2,3,2,69,1,,8,,5000,,5,,,,,,,,,,2,2,,9,4,2,2,2,2,2,,44,1,4,1,15,,7,,1601,,2,15600,4,,,1,1,1,14,,4505,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,115313,1,2,2,2,2,3,4,4,2,2,2,2,2,3,3,3,1,2,4,5,2,4,4,4,3,2,3,2,2,4,2,3,2,2,4,3,4,4,1,2,3,3,4,1,3,3,3,3,2,2,2,3,4,2,2,2,2,39,3,2,1,40,5101,,5,,,,3,2,,2,,7,2,2,,10,4,4,1,2,4,1,,10,4,4,1,10,,,,2701,,4,26424,6,26424,6,1,1,1,6,,4601,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,1,
1950,115314,1,1,1,1,2,4,4,4,3,3,2,2,1,1,1,1,,3,5,3,2,2,2,2,1,2,2,1,2,4,2,2,2,2,2,2,3,3,1,1,3,3,5,3,3,3,3,2,1,2,2,2,2,2,2,2,1,65,4,2,7,,5505,,5,,,,,2,,1,5,4,2,1,12,12,5,4,1,1,4,1,,43,6,4,1,11,,1,,4501,,,8500,2,8500,2,1,3,3,10,,4931,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1950,115318,1,2,1,1,2,4,4,4,1,1,2,2,2,4,4,4,1,2,5,5,2,5,5,5,2,4,2,2,4,5,3,2,2,3,3,3,4,4,1,1,4,2,4,3,3,3,4,3,3,2,3,4,4,3,3,1,1,58,1,,1,35,2799,,2,,,,3,2,2,2,,4,2,2,,12,5,4,1,2,4,1,,44,6,4,1,10,,1,,2703,,4,80000,13,80000,13,1,1,1,6,,6201,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
1950,115321,1,2,1,2,2,3,4,3,2,2,2,2,1,2,2,3,1,1,4,5,3,5,4,2,1,2,1,1,5,5,1,5,4,4,5,5,5,4,2,1,3,2,2,2,3,3,4,2,2,2,1,4,3,2,4,1,1,36,1,,1,40,2703,,2,,,,3,2,,2,,4,2,2,,16,6,2,2,2,2,2,,47,5,6,1,15,,1,,2799,,3,91000,15,56000,11,1,1,1,6,,1401,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
1950,115323,1,1,2,2,2,4,4,4,2,2,2,2,1,2,2,3,1,3,5,4,2,4,3,3,1,3,1,2,2,4,3,4,2,3,3,3,5,4,1,1,3,2,4,2,3,3,3,3,2,2,2,3,2,3,3,1,1,49,1,,1,60,1507,,1,,,,3,2,,1,45,8,2,2,,12,5,6,95,1,4,1,,10,5,4,1,12,,2,,8911,,4,58000,11,50000,10,1,1,1,14,,5503,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
1950,115352,1,2,1,1,1,4,4,2,1,1,2,2,4,2,4,4,1,1,2,5,1,4,2,1,1,2,2,1,3,3,2,3,2,3,4,2,5,2,1,1,1,3,4,2,2,2,3,2,2,2,3,4,3,3,3,3,2,65,2,2,7,,,,,,,,,,2,,,,2,2,,4,2,2,2,3,2,2,,52,5,4,6,14,,,,9005,,3,6968,2,6968,2,1,1,1,3,,1501,96,,,,49,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,
1950,115359,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,,,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,2,,,,,,,,,,,,,,,,,,,1,,1,,,,8907,,8,,,,3,2,,2,,4,2,2,,6,3,,,,,,,90,4,2,2,,,,,,,5,19000,4,19000,4,,,,3,,,3,,,,37,1,,,,,,,,,,,,,,,,,,,,,4,2,2,,,,1,
1950,115360,1,2,1,1,1,2,3,1,1,1,1,1,1,4,4,2,1,2,3,5,2,2,2,2,2,2,2,2,2,2,1,2,2,1,5,4,2,2,2,3,3,4,3,1,2,1,1,2,1,2,2,2,2,1,1,1,1,21,5,2,1,58,6301,,6,,,,3,2,,1,3,8,1,2,,12,5,2,2,1,2,2,,90,6,2,2,,,,,,,2,27500,6,27500,6,1,1,1,10,,4931,11,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1950,115367,1,2,1,1,1,3,4,3,1,1,2,2,1,3,3,3,1,2,3,5,3,5,3,3,2,4,2,2,4,5,3,3,2,3,3,2,4,4,2,2,2,3,4,2,2,2,3,2,3,2,2,3,3,3,3,2,1,56,1,,1,60,7105,,7,,,,,1,,2,,,1,2,,5,2,4,1,3,,,,90,6,2,1,10,,1,,5000,,3,50000,10,30000,6,1,1,1,10,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,
1950,115368,1,2,1,1,1,3,3,1,1,1,3,3,1,1,3,1,2,1,3,1,1,5,4,2,4,1,,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,72,1,,7,,7303,,7,,,,,2,,2,,4,1,2,,6,3,2,2,1,2,2,,44,5,2,2,,,,,,,2,11128,3,5564,2,1,2,2,,,,12,,,,2,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
1950,115371,1,1,2,2,2,3,4,3,3,3,3,3,2,,,2,,3,3,4,,2,3,,,2,3,2,2,,2,1,2,1,1,1,2,2,2,3,2,3,3,1,,1,1,1,1,1,1,1,1,1,1,3,2,28,1,,1,35,8103,,8,,,,3,2,,2,,4,2,2,,10,4,2,2,1,2,2,,54,4,4,1,10,,1,,8301,,6,35600,8,15600,4,1,1,1,10,,,96,,,,14,1,,,,,,,,,,,,,,,,,,,,,3,2,1,,,,,
