v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142
1950,121382,1,2,2,2,4,4,4,4,2,2,3,3,1,1,3,1,1,4,5,5,3,2,,,1,2,2,2,4,4,2,2,2,2,4,2,5,2,2,2,1,5,4,1,2,2,2,2,2,2,,3,2,2,2,4,2,51,1,,2,18,3401,,3,,,,3,2,,1,,1,2,2,,13,5,2,2,2,2,2,,92,3,4,1,11,,1,,6103,,4,197000,16,87000,14,5,1,1,6,,1401,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,
1950,121384,1,2,1,1,2,4,4,4,1,1,4,2,1,3,3,4,1,2,4,5,2,5,4,4,2,2,2,1,4,4,,2,2,3,3,3,4,3,1,1,3,3,3,1,2,3,3,2,2,2,2,2,4,2,3,2,1,67,1,,7,,2305,,2,,,,,1,1,1,2,1,2,2,,16,6,4,1,1,4,1,,44,1,6,1,14,,8,,9997,,2,,,,,5,1,1,12,,,12,,,,6,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
1950,121392,1,2,2,2,2,3,4,4,4,4,4,4,1,1,1,1,1,2,5,5,1,1,4,2,2,1,1,2,5,5,4,2,2,2,2,2,4,2,1,1,1,1,3,1,1,1,3,2,2,2,2,2,2,2,1,2,2,70,1,,8,,,,,,,,,,,,,,2,2,,6,3,4,1,2,4,1,,,,4,1,12,,7,,9991,,2,34040,7,5000,1,5,1,1,10,,1401,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,121393,1,2,2,2,2,3,4,4,4,4,2,2,1,1,1,1,,3,4,3,3,4,4,4,3,2,3,2,3,4,2,2,2,4,3,3,3,4,,1,2,3,4,3,3,2,3,2,2,2,2,2,3,3,2,2,2,71,1,,7,,1503,,1,,,,,1,,1,15,5,2,2,,11,5,4,1,2,4,1,,43,3,4,1,14,,7,,,,2,6200,2,6200,2,5,1,1,14,,4401,14,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,121400,1,1,2,2,2,4,4,4,3,3,3,3,2,3,3,3,1,3,4,5,2,3,3,4,2,2,3,2,2,4,3,2,2,3,3,2,3,4,1,1,3,3,5,1,3,3,3,2,2,2,2,3,2,2,2,3,2,38,5,2,1,45,5301,,5,,,,3,2,,1,2,8,2,2,,10,4,,,,2,2,,47,4,2,2,,,,,,,3,33000,7,33000,7,5,1,1,10,,4405,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,121404,1,1,1,2,2,3,3,2,1,1,3,3,1,1,1,1,1,1,1,4,3,1,3,3,1,1,1,1,1,5,4,2,4,2,4,2,5,5,1,3,3,3,3,2,2,2,3,2,1,2,2,4,2,1,2,2,2,35,1,,1,40,8109,,8,,,,3,2,,2,,4,1,2,,8,4,2,2,2,2,2,,52,4,4,2,14,,1,,8103,,1,24752,5,12480,3,5,3,3,96,,1401,96,,,,35,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,121412,1,2,1,2,2,3,4,2,2,2,3,2,2,2,3,2,1,2,3,4,1,4,2,3,2,2,2,2,4,4,2,2,2,3,3,3,3,3,1,3,3,4,3,1,3,2,2,2,2,2,2,2,3,2,2,1,2,80,1,,,,,,,,,,,,,,,,2,2,,12,5,2,2,2,2,2,,90,6,4,1,3,,7,,1399,,2,12896,3,6448,2,5,1,1,10,,4701,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
1950,121417,1,2,2,2,2,4,4,4,3,2,3,2,2,2,2,2,1,4,5,5,3,5,4,4,2,3,2,2,3,5,2,2,2,2,4,3,3,3,1,3,3,3,4,3,3,3,2,2,2,2,2,2,3,2,2,2,1,53,1,,1,40,2211,,2,,,,1,2,,1,10,8,1,2,,13,5,2,2,2,2,2,,44,5,6,1,,,,,,,3,69000,12,45000,9,5,1,1,14,,1401,12,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,
1950,121421,1,2,1,1,1,3,3,3,1,1,1,1,1,2,2,2,1,2,3,5,3,4,4,4,4,4,4,1,4,4,2,1,1,1,2,3,3,3,2,3,,3,3,1,3,3,,2,1,1,1,1,3,2,2,4,2,39,1,,2,20,5101,,5,,,,1,2,1,2,,5,2,2,,10,4,2,2,2,3,4,,49,5,2,1,11,,1,,3201,,4,55936,11,25936,6,5,1,1,10,,6201,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
1950,121422,1,2,1,1,2,3,4,1,2,2,3,2,2,2,3,3,1,2,3,5,2,3,2,2,3,2,4,2,3,3,2,3,3,2,3,3,3,4,2,3,3,4,3,1,2,2,2,2,2,2,2,2,3,2,2,2,1,50,5,2,5,,4103,,4,,,,,2,,2,,6,1,1,,10,4,2,2,1,2,2,,10,1,2,2,,,,,,,1,5000,1,5000,1,5,1,1,10,,1401,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
